time,ground_truth,imputed
2017-01-01 04:50:00,67.4,67.4
2017-01-01 04:55:00,66.5,66.5
2017-01-01 05:00:00,66.6,66.6
2017-01-01 05:05:00,66.8,66.8
2017-01-01 05:10:00,67.3,67.3
2017-01-01 05:15:00,67.6,67.6
2017-01-01 05:20:00,66.9,66.9
2017-01-01 05:25:00,68.0,68.0
2017-01-01 05:30:00,67.3,67.3
2017-01-01 05:35:00,67.3,67.3
2017-01-01 05:40:00,67.0,67.0
2017-01-01 05:45:00,67.2,67.2
2017-01-01 05:50:00,67.7,67.7
2017-01-01 05:55:00,67.7,67.7
2017-01-01 06:00:00,67.3,67.3
2017-01-01 06:05:00,67.3,67.3
2017-01-01 06:10:00,67.1,67.1
2017-01-01 06:15:00,67.7,67.7
2017-01-01 06:20:00,67.7,67.7
2017-01-01 06:25:00,68.1,68.1
2017-01-01 06:30:00,67.8,67.8
2017-01-01 06:35:00,67.9,67.9
2017-01-01 06:40:00,68.1,68.1
2017-01-01 06:45:00,68.0,68.0
2017-01-01 06:50:00,67.9,67.9
2017-01-01 06:55:00,67.8,67.8
2017-01-01 07:00:00,67.0,67.0
2017-01-01 07:05:00,67.3,67.3
2017-01-01 07:10:00,68.1,68.1
2017-01-01 07:15:00,67.8,67.8
2017-01-01 07:20:00,67.0,67.0
2017-01-01 07:25:00,67.1,67.1
2017-01-01 07:30:00,66.9,66.9
2017-01-01 07:35:00,67.0,67.0
2017-01-01 07:40:00,67.8,67.8
2017-01-01 07:45:00,67.0,67.0
2017-01-01 07:50:00,67.2,67.2
2017-01-01 07:55:00,67.1,67.1
2017-01-01 08:00:00,67.0,67.0
2017-01-01 08:05:00,67.6,67.6
2017-01-01 08:10:00,67.5,67.5
2017-01-01 08:15:00,67.9,67.9
2017-01-01 08:20:00,68.1,68.1
2017-01-01 08:25:00,67.3,67.3
2017-01-01 08:30:00,67.9,67.9
2017-01-01 08:35:00,67.7,67.7
2017-01-01 08:40:00,68.7,68.7
2017-01-01 08:45:00,68.4,68.4
2017-01-01 08:50:00,68.5,68.5
2017-01-01 08:55:00,68.3,68.3
2017-01-01 09:00:00,68.4,68.4
2017-01-01 09:05:00,67.7,67.7
2017-01-01 09:10:00,67.2,67.2
2017-01-01 09:15:00,67.4,67.4
2017-01-01 09:20:00,66.6,66.6
2017-01-01 09:25:00,67.0,67.0
2017-01-01 09:30:00,67.1,67.1
2017-01-01 09:35:00,66.9,66.9
2017-01-01 09:40:00,67.5,67.5
2017-01-01 09:45:00,67.6,67.6
2017-01-01 09:50:00,67.0,67.0
2017-01-01 09:55:00,66.6,66.6
2017-01-01 10:00:00,67.2,67.2
2017-01-01 10:05:00,67.2,67.2
2017-01-01 10:10:00,66.7,66.7
2017-01-01 10:15:00,66.9,66.9
2017-01-01 10:20:00,66.7,66.7
2017-01-01 10:25:00,66.6,66.6
2017-01-01 10:30:00,66.5,66.5
2017-01-01 10:35:00,67.4,67.4
2017-01-01 10:40:00,67.3,67.3
2017-01-01 10:45:00,67.3,67.3
2017-01-01 10:50:00,66.8,66.8
2017-01-01 10:55:00,67.1,67.1
2017-01-01 11:00:00,67.0,67.0
2017-01-01 11:05:00,66.5,66.5
2017-01-01 11:10:00,67.2,67.2
2017-01-01 11:15:00,66.5,66.5
2017-01-01 11:20:00,66.5,66.5
2017-01-01 11:25:00,66.4,66.4
2017-01-01 11:30:00,66.5,66.5
2017-01-01 11:35:00,66.5,66.5
2017-01-01 11:40:00,66.5,66.5
2017-01-01 11:45:00,66.2,66.2
2017-01-01 11:50:00,66.4,66.4
2017-01-01 11:55:00,66.1,66.1
2017-01-01 12:00:00,65.8,65.8
2017-01-01 12:05:00,65.8,65.8
2017-01-01 12:10:00,65.2,65.2
2017-01-01 12:15:00,64.8,64.8
2017-01-01 12:20:00,65.2,65.2
2017-01-01 12:25:00,65.7,65.7
2017-01-01 12:30:00,64.4,64.4
2017-01-01 12:35:00,65.2,65.2
2017-01-01 12:40:00,65.0,65.0
2017-01-01 12:45:00,65.1,65.1
2017-01-01 12:50:00,64.9,64.9
2017-01-01 12:55:00,65.0,65.0
2017-01-01 13:00:00,65.1,65.1
2017-01-01 13:05:00,64.2,64.2
2017-01-01 13:10:00,64.2,64.2
2017-01-01 13:15:00,64.7,64.7
2017-01-01 13:20:00,64.3,64.3
2017-01-01 13:25:00,64.9,64.9
2017-01-01 13:30:00,64.6,64.6
2017-01-01 13:35:00,64.9,64.9
2017-01-01 13:40:00,64.9,64.9
2017-01-01 13:45:00,64.6,64.6
2017-01-01 13:50:00,65.0,65.0
2017-01-01 13:55:00,64.6,64.6
2017-01-01 14:00:00,64.1,64.1
2017-01-01 14:05:00,65.2,65.2
2017-01-01 14:10:00,64.2,64.2
2017-01-01 14:15:00,64.7,64.7
2017-01-01 14:20:00,64.6,64.6
2017-01-01 14:25:00,64.3,64.3
2017-01-01 14:30:00,64.6,64.6
2017-01-01 14:35:00,64.5,64.5
2017-01-01 14:40:00,64.7,64.7
2017-01-01 14:45:00,64.3,64.3
2017-01-01 14:50:00,64.5,64.5
2017-01-01 14:55:00,64.0,64.0
2017-01-01 15:00:00,64.7,64.7
2017-01-01 15:05:00,65.0,65.0
2017-01-01 15:10:00,64.5,64.5
2017-01-01 15:15:00,63.9,63.9
2017-01-01 15:20:00,64.3,64.3
2017-01-01 15:25:00,64.5,64.5
2017-01-01 15:30:00,64.4,64.4
2017-01-01 15:35:00,64.3,64.3
2017-01-01 15:40:00,64.4,64.4
2017-01-01 15:45:00,64.6,64.6
2017-01-01 15:50:00,64.5,64.5
2017-01-01 15:55:00,64.8,64.8
2017-01-01 16:00:00,65.1,65.1
2017-01-01 16:05:00,64.5,64.5
2017-01-01 16:10:00,64.4,64.4
2017-01-01 16:15:00,64.6,64.6
2017-01-01 16:20:00,64.7,64.7
2017-01-01 16:25:00,64.0,64.0
2017-01-01 16:30:00,63.7,63.7
2017-01-01 16:35:00,63.6,63.6
2017-01-01 16:40:00,63.9,63.9
2017-01-01 16:45:00,63.7,63.7
2017-01-01 16:50:00,63.0,63.0
2017-01-01 16:55:00,63.1,63.1
2017-01-01 17:00:00,62.4,62.4
2017-01-01 17:05:00,62.2,62.2
2017-01-01 17:10:00,62.4,62.4
2017-01-01 17:15:00,62.3,62.3
2017-01-01 17:20:00,60.6,60.6
2017-01-01 17:25:00,60.3,60.3
2017-01-01 17:30:00,60.5,60.5
2017-01-01 17:35:00,60.3,60.3
2017-01-01 17:40:00,60.0,60.0
2017-01-01 17:45:00,59.6,59.6
2017-01-01 17:50:00,59.9,59.9
2017-01-01 17:55:00,60.9,60.9
2017-01-01 18:00:00,60.0,60.0
2017-01-01 18:05:00,59.2,59.2
2017-01-01 18:10:00,60.0,60.0
2017-01-01 18:15:00,60.4,60.4
2017-01-01 18:20:00,60.2,60.2
2017-01-01 18:25:00,60.4,60.4
2017-01-01 18:30:00,60.6,60.6
2017-01-01 18:35:00,60.6,60.6
2017-01-01 18:40:00,61.2,61.2
2017-01-01 18:45:00,61.0,61.0
2017-01-01 18:50:00,60.7,60.7
2017-01-01 18:55:00,60.8,60.8
2017-01-01 19:00:00,62.4,62.4
2017-01-01 19:05:00,63.3,63.3
2017-01-01 19:10:00,63.3,63.3
2017-01-01 19:15:00,62.7,62.7
2017-01-01 19:20:00,63.1,63.1
2017-01-01 19:25:00,63.3,63.3
2017-01-01 19:30:00,64.5,64.5
2017-01-01 19:35:00,64.3,64.3
2017-01-01 19:40:00,63.9,63.9
2017-01-01 19:45:00,63.6,63.6
2017-01-01 19:50:00,63.6,63.6
2017-01-01 19:55:00,64.6,64.6
2017-01-01 20:00:00,64.3,64.3
2017-01-01 20:05:00,64.2,64.2
2017-01-01 20:10:00,64.5,64.5
2017-01-01 20:15:00,64.5,64.5
2017-01-01 20:20:00,64.5,64.5
2017-01-01 20:25:00,64.2,64.2
2017-01-01 20:30:00,64.5,64.5
2017-01-01 20:35:00,64.4,64.4
2017-01-01 20:40:00,64.6,64.6
2017-01-01 20:45:00,64.3,64.3
2017-01-01 20:50:00,64.7,64.7
2017-01-01 20:55:00,65.1,65.1
2017-01-01 21:00:00,66.2,66.2
2017-01-01 21:05:00,66.2,66.2
2017-01-01 21:10:00,66.7,66.7
2017-01-01 21:15:00,67.0,67.0
2017-01-01 21:20:00,67.1,67.1
2017-01-01 21:25:00,67.7,67.7
2017-01-01 21:30:00,67.6,67.6
2017-01-01 21:35:00,67.3,67.3
2017-01-01 21:40:00,67.8,67.8
2017-01-01 21:45:00,68.0,68.0
2017-01-01 21:50:00,68.0,68.0
2017-01-01 21:55:00,67.9,67.9
2017-01-01 22:00:00,68.1,68.1
2017-01-01 22:05:00,68.0,68.0
2017-01-01 22:10:00,67.9,67.9
2017-01-01 22:15:00,67.7,67.7
2017-01-01 22:20:00,66.7,66.7
2017-01-01 22:25:00,67.4,67.4
2017-01-01 22:30:00,67.3,67.3
2017-01-01 22:35:00,68.0,68.0
2017-01-01 22:40:00,67.8,67.8
2017-01-01 22:45:00,68.8,68.8
2017-01-01 22:50:00,69.3,69.3
2017-01-01 22:55:00,68.4,68.4
2017-01-01 23:00:00,69.5,69.5
2017-01-01 23:05:00,69.0,69.0
2017-01-01 23:10:00,67.9,67.9
2017-01-01 23:15:00,67.7,67.7
2017-01-01 23:20:00,68.0,68.0
2017-01-01 23:25:00,68.5,68.5
2017-01-01 23:30:00,67.7,67.7
2017-01-01 23:35:00,68.0,68.0
2017-01-01 23:40:00,68.0,68.0
2017-01-01 23:45:00,68.2,68.2
2017-01-01 23:50:00,67.8,67.8
2017-01-01 23:55:00,67.3,67.3
2017-01-02 00:00:00,68.3,68.3
2017-01-02 00:05:00,68.3,68.3
2017-01-02 00:10:00,68.4,68.4
2017-01-02 00:15:00,67.6,67.6
2017-01-02 00:20:00,68.1,68.1
2017-01-02 00:25:00,67.9,67.9
2017-01-02 00:30:00,67.8,67.8
2017-01-02 00:35:00,66.9,66.9
2017-01-02 00:40:00,67.3,67.3
2017-01-02 00:45:00,67.5,67.5
2017-01-02 00:50:00,66.9,66.9
2017-01-02 00:55:00,67.5,67.5
2017-01-02 01:00:00,67.3,67.3
2017-01-02 01:05:00,67.7,67.7
2017-01-02 01:10:00,67.4,67.4
2017-01-02 01:15:00,67.5,67.5
2017-01-02 01:20:00,67.4,67.4
2017-01-02 01:25:00,67.0,67.0
2017-01-02 01:30:00,67.2,67.2
2017-01-02 01:35:00,67.3,67.3
2017-01-02 01:40:00,67.3,67.3
2017-01-02 01:45:00,66.7,66.7
2017-01-02 01:50:00,66.6,66.6
2017-01-02 01:55:00,67.4,67.4
2017-01-02 02:00:00,67.8,67.8
2017-01-02 02:05:00,67.3,67.3
2017-01-02 02:10:00,67.8,67.8
2017-01-02 02:15:00,67.3,67.3
2017-01-02 02:20:00,67.2,67.2
2017-01-02 02:25:00,67.2,67.2
2017-01-02 02:30:00,66.7,66.7
2017-01-02 02:35:00,67.3,67.3
2017-01-02 02:40:00,67.3,67.3
2017-01-02 02:45:00,67.4,67.4
2017-01-02 02:50:00,67.8,67.8
2017-01-02 02:55:00,65.9,65.9
2017-01-02 03:00:00,67.1,67.1
2017-01-02 03:05:00,67.0,67.0
2017-01-02 03:10:00,66.8,66.8
2017-01-02 03:15:00,66.5,66.5
2017-01-02 03:20:00,66.4,66.4
2017-01-02 03:25:00,67.0,67.0
2017-01-02 03:30:00,67.2,67.2
2017-01-02 03:35:00,67.2,67.2
2017-01-02 03:40:00,66.4,66.4
2017-01-02 03:45:00,66.9,66.9
2017-01-02 03:50:00,68.1,68.1
2017-01-02 03:55:00,67.5,67.5
2017-01-02 04:00:00,67.5,67.5
2017-01-02 04:05:00,67.8,67.8
2017-01-02 04:10:00,68.0,68.0
2017-01-02 04:15:00,68.3,68.3
2017-01-02 04:20:00,68.6,68.6
2017-01-02 04:25:00,68.0,68.0
2017-01-02 04:30:00,68.8,68.8
2017-01-02 04:35:00,69.0,69.0
2017-01-02 04:40:00,69.6,69.6
2017-01-02 04:45:00,69.6,69.6
2017-01-02 04:50:00,68.9,68.9
2017-01-02 04:55:00,69.0,69.0
2017-01-02 05:00:00,69.4,69.4
2017-01-02 05:05:00,69.1,69.1
2017-01-02 05:10:00,69.2,69.2
2017-01-02 05:15:00,69.6,69.6
2017-01-02 05:20:00,69.9,69.9
2017-01-02 05:25:00,69.0,69.0
2017-01-02 05:30:00,69.1,69.1
2017-01-02 05:35:00,68.5,68.5
2017-01-02 05:40:00,68.7,68.7
2017-01-02 05:45:00,68.9,68.9
2017-01-02 05:50:00,68.8,68.8
2017-01-02 05:55:00,68.4,68.4
2017-01-02 06:00:00,68.1,68.1
2017-01-02 06:05:00,67.8,67.8
2017-01-02 06:10:00,68.2,68.2
2017-01-02 06:15:00,68.0,68.0
2017-01-02 06:20:00,67.5,67.5
2017-01-02 06:25:00,67.7,67.7
2017-01-02 06:30:00,67.7,67.7
2017-01-02 06:35:00,67.3,67.3
2017-01-02 06:40:00,67.1,67.1
2017-01-02 06:45:00,67.3,67.3
2017-01-02 06:50:00,66.3,66.3
2017-01-02 06:55:00,66.0,66.0
2017-01-02 07:00:00,64.6,64.6
2017-01-02 07:05:00,64.3,64.3
2017-01-02 07:10:00,64.4,64.4
2017-01-02 07:15:00,66.2,66.2
2017-01-02 07:20:00,65.2,65.2
2017-01-02 07:25:00,66.3,66.3
2017-01-02 07:30:00,66.5,66.5
2017-01-02 07:35:00,67.1,67.1
2017-01-02 07:40:00,65.9,65.9
2017-01-02 07:45:00,66.2,66.2
2017-01-02 07:50:00,65.4,65.4
2017-01-02 07:55:00,66.7,66.7
2017-01-02 08:00:00,66.5,66.5
2017-01-02 08:05:00,65.9,65.9
2017-01-02 08:10:00,65.8,65.8
2017-01-02 08:15:00,65.3,65.3
2017-01-02 08:20:00,64.5,64.5
2017-01-02 08:25:00,64.7,64.7
2017-01-02 08:30:00,64.4,64.4
2017-01-02 08:35:00,65.0,65.0
2017-01-02 08:40:00,65.7,65.7
2017-01-02 08:45:00,65.2,65.2
2017-01-02 08:50:00,63.5,63.5
2017-01-02 08:55:00,64.5,64.5
2017-01-02 09:00:00,64.2,64.2
2017-01-02 09:05:00,64.5,64.5
2017-01-02 09:10:00,64.3,64.3
2017-01-02 09:15:00,65.2,65.2
2017-01-02 09:20:00,65.0,65.0
2017-01-02 09:25:00,64.8,64.8
2017-01-02 09:30:00,63.8,63.8
2017-01-02 09:35:00,63.3,63.3
2017-01-02 09:40:00,63.9,63.9
2017-01-02 09:45:00,63.8,63.8
2017-01-02 09:50:00,63.0,63.0
2017-01-02 09:55:00,65.2,65.2
2017-01-02 10:00:00,64.9,64.9
2017-01-02 10:05:00,64.3,64.3
2017-01-02 10:10:00,63.9,63.9
2017-01-02 10:15:00,63.4,63.4
2017-01-02 10:20:00,65.0,65.0
2017-01-02 10:25:00,64.2,64.2
2017-01-02 10:30:00,64.3,64.3
2017-01-02 10:35:00,64.2,64.2
2017-01-02 10:40:00,64.0,64.0
2017-01-02 10:45:00,64.1,64.1
2017-01-02 10:50:00,64.9,64.9
2017-01-02 10:55:00,64.6,64.6
2017-01-02 11:00:00,64.9,64.9
2017-01-02 11:05:00,64.4,64.4
2017-01-02 11:10:00,65.1,65.1
2017-01-02 11:15:00,64.4,64.4
2017-01-02 11:20:00,65.0,65.0
2017-01-02 11:25:00,65.2,65.2
2017-01-02 11:30:00,65.9,65.9
2017-01-02 11:35:00,65.3,65.3
2017-01-02 11:40:00,65.2,65.2
2017-01-02 11:45:00,64.2,64.2
2017-01-02 11:50:00,65.1,65.1
2017-01-02 11:55:00,64.4,64.4
2017-01-02 12:00:00,63.9,63.9
2017-01-02 12:05:00,63.9,63.9
2017-01-02 12:10:00,64.2,64.2
2017-01-02 12:15:00,64.9,64.9
2017-01-02 12:20:00,64.1,64.1
2017-01-02 12:25:00,65.2,65.2
2017-01-02 12:30:00,64.2,64.2
2017-01-02 12:35:00,64.1,64.1
2017-01-02 12:40:00,65.0,65.0
2017-01-02 12:45:00,65.2,65.2
2017-01-02 12:50:00,65.6,65.6
2017-01-02 12:55:00,65.8,65.8
2017-01-02 13:00:00,66.1,66.1
2017-01-02 13:05:00,65.9,65.9
2017-01-02 13:10:00,65.8,65.8
2017-01-02 13:15:00,64.7,64.7
2017-01-02 13:20:00,64.8,64.8
2017-01-02 13:25:00,65.3,65.3
2017-01-02 13:30:00,65.4,65.4
2017-01-02 13:35:00,65.8,65.8
2017-01-02 13:40:00,65.0,65.0
2017-01-02 13:45:00,65.5,65.5
2017-01-02 13:50:00,65.8,65.8
2017-01-02 13:55:00,66.0,66.0
2017-01-02 14:00:00,65.9,65.9
2017-01-02 14:05:00,65.6,65.6
2017-01-02 14:10:00,66.9,66.9
2017-01-02 14:15:00,65.9,65.9
2017-01-02 14:20:00,65.7,65.7
2017-01-02 14:25:00,65.0,65.0
2017-01-02 14:30:00,64.7,64.7
2017-01-02 14:35:00,64.3,64.3
2017-01-02 14:40:00,63.0,63.0
2017-01-02 14:45:00,60.1,60.1
2017-01-02 14:50:00,59.7,59.7
2017-01-02 14:55:00,61.0,61.0
2017-01-02 15:00:00,60.4,60.4
2017-01-02 15:05:00,61.6,61.6
2017-01-02 15:10:00,61.0,61.0
2017-01-02 15:15:00,60.9,60.9
2017-01-02 15:20:00,61.3,61.3
2017-01-02 15:25:00,62.0,62.0
2017-01-02 15:30:00,61.6,61.6
2017-01-02 15:35:00,59.6,59.6
2017-01-02 15:40:00,57.9,57.9
2017-01-02 15:45:00,47.2,47.2
2017-01-02 15:50:00,39.4,39.4
2017-01-02 15:55:00,35.8,35.8
2017-01-02 16:00:00,34.0,34.0
2017-01-02 16:05:00,32.0,31.999999999999996
2017-01-02 16:10:00,31.3,31.3
2017-01-02 16:15:00,30.6,30.6
2017-01-02 16:20:00,29.7,29.7
2017-01-02 16:25:00,29.4,29.399999999999995
2017-01-02 16:30:00,29.2,29.2
2017-01-02 16:35:00,29.6,29.599999999999998
2017-01-02 16:40:00,28.8,28.799999999999997
2017-01-02 16:45:00,27.1,27.1
2017-01-02 16:50:00,26.6,26.6
2017-01-02 16:55:00,25.3,25.299999999999997
2017-01-02 17:00:00,25.3,25.299999999999997
2017-01-02 17:05:00,23.8,23.799999999999997
2017-01-02 17:10:00,24.8,24.799999999999997
2017-01-02 17:15:00,23.5,23.5
2017-01-02 17:20:00,21.1,21.1
2017-01-02 17:25:00,20.6,20.6
2017-01-02 17:30:00,19.6,19.6
2017-01-02 17:35:00,21.6,21.6
2017-01-02 17:40:00,21.1,21.1
2017-01-02 17:45:00,20.6,20.6
2017-01-02 17:50:00,20.9,20.9
2017-01-02 17:55:00,21.4,21.4
2017-01-02 18:00:00,23.9,23.9
2017-01-02 18:05:00,21.2,21.200000000000003
2017-01-02 18:10:00,20.6,20.6
2017-01-02 18:15:00,20.4,20.4
2017-01-02 18:20:00,23.5,23.5
2017-01-02 18:25:00,24.7,24.700000000000003
2017-01-02 18:30:00,26.4,26.4
2017-01-02 18:35:00,26.4,26.4
2017-01-02 18:40:00,27.5,27.5
2017-01-02 18:45:00,28.5,28.5
2017-01-02 18:50:00,38.3,38.3
2017-01-02 18:55:00,49.5,49.5
2017-01-02 19:00:00,55.7,55.7
2017-01-02 19:05:00,59.1,59.1
2017-01-02 19:10:00,61.2,61.2
2017-01-02 19:15:00,61.9,61.9
2017-01-02 19:20:00,62.7,62.7
2017-01-02 19:25:00,63.7,63.7
2017-01-02 19:30:00,65.0,65.0
2017-01-02 19:35:00,65.4,65.4
2017-01-02 19:40:00,65.9,65.9
2017-01-02 19:45:00,65.6,65.6
2017-01-02 19:50:00,65.8,65.8
2017-01-02 19:55:00,66.1,66.1
2017-01-02 20:00:00,66.5,66.5
2017-01-02 20:05:00,66.6,66.6
2017-01-02 20:10:00,66.4,66.4
2017-01-02 20:15:00,66.1,66.1
2017-01-02 20:20:00,66.6,66.6
2017-01-02 20:25:00,66.7,66.7
2017-01-02 20:30:00,67.3,67.3
2017-01-02 20:35:00,67.3,67.3
2017-01-02 20:40:00,67.1,67.1
2017-01-02 20:45:00,67.4,67.4
2017-01-02 20:50:00,68.1,68.1
2017-01-02 20:55:00,67.1,67.1
2017-01-02 21:00:00,67.6,67.6
2017-01-02 21:05:00,67.1,67.1
2017-01-02 21:10:00,67.4,67.4
2017-01-02 21:15:00,66.7,66.7
2017-01-02 21:20:00,66.3,66.3
2017-01-02 21:25:00,67.1,67.1
2017-01-02 21:30:00,66.3,66.3
2017-01-02 21:35:00,67.0,67.0
2017-01-02 21:40:00,66.3,66.3
2017-01-02 21:45:00,67.3,67.3
2017-01-02 21:50:00,68.1,68.1
2017-01-02 21:55:00,67.8,67.8
2017-01-02 22:00:00,67.8,67.8
2017-01-02 22:05:00,67.6,67.6
2017-01-02 22:10:00,67.3,67.3
2017-01-02 22:15:00,68.0,68.0
2017-01-02 22:20:00,67.4,67.4
2017-01-02 22:25:00,67.8,67.8
2017-01-02 22:30:00,66.9,66.9
2017-01-02 22:35:00,67.5,67.5
2017-01-02 22:40:00,67.3,67.3
2017-01-02 22:45:00,67.7,67.7
2017-01-02 22:50:00,68.2,68.2
2017-01-02 22:55:00,68.0,68.0
2017-01-02 23:00:00,66.9,66.9
2017-01-02 23:05:00,67.4,67.4
2017-01-02 23:10:00,67.3,67.3
2017-01-02 23:15:00,67.6,67.6
2017-01-02 23:20:00,67.1,67.1
2017-01-02 23:25:00,67.4,67.4
2017-01-02 23:30:00,67.1,67.1
2017-01-02 23:35:00,67.4,67.4
2017-01-02 23:40:00,67.8,67.8
2017-01-02 23:45:00,67.4,67.4
2017-01-02 23:50:00,66.7,66.7
2017-01-02 23:55:00,67.0,67.0
2017-01-03 00:00:00,67.6,67.6
2017-01-03 00:05:00,67.1,67.1
2017-01-03 00:10:00,66.9,66.9
2017-01-03 00:15:00,67.0,67.0
2017-01-03 00:20:00,66.8,66.8
2017-01-03 00:25:00,66.7,66.7
2017-01-03 00:30:00,66.8,66.8
2017-01-03 00:35:00,67.0,67.0
2017-01-03 00:40:00,66.8,66.8
2017-01-03 00:45:00,67.4,67.4
2017-01-03 00:50:00,67.4,67.4
2017-01-03 00:55:00,67.4,67.4
2017-01-03 01:00:00,66.6,66.6
2017-01-03 01:05:00,66.6,66.6
2017-01-03 01:10:00,67.4,67.4
2017-01-03 01:15:00,66.5,66.5
2017-01-03 01:20:00,66.4,66.4
2017-01-03 01:25:00,66.9,66.9
2017-01-03 01:30:00,66.7,66.7
2017-01-03 01:35:00,67.1,67.1
2017-01-03 01:40:00,67.0,67.0
2017-01-03 01:45:00,67.1,67.1
2017-01-03 01:50:00,66.8,66.8
2017-01-03 01:55:00,67.0,67.0
2017-01-03 02:00:00,66.4,66.4
2017-01-03 02:05:00,66.5,66.5
2017-01-03 02:10:00,67.0,67.0
2017-01-03 02:15:00,66.6,66.6
2017-01-03 02:20:00,66.1,66.1
2017-01-03 02:25:00,65.8,65.8
2017-01-03 02:30:00,66.1,66.1
2017-01-03 02:35:00,66.3,66.3
2017-01-03 02:40:00,66.5,66.5
2017-01-03 02:45:00,67.1,67.1
2017-01-03 02:50:00,67.0,67.0
2017-01-03 02:55:00,66.8,66.8
2017-01-03 03:00:00,66.3,66.3
2017-01-03 03:05:00,67.0,67.0
2017-01-03 03:10:00,68.2,68.2
2017-01-03 03:15:00,67.3,67.3
2017-01-03 03:20:00,67.1,67.1
2017-01-03 03:25:00,67.1,67.1
2017-01-03 03:30:00,67.0,67.0
2017-01-03 03:35:00,66.8,66.8
2017-01-03 03:40:00,67.3,67.3
2017-01-03 03:45:00,67.7,67.7
2017-01-03 03:50:00,67.2,67.2
2017-01-03 03:55:00,67.6,67.6
2017-01-03 04:00:00,67.9,67.9
2017-01-03 04:05:00,68.5,68.5
2017-01-03 04:10:00,67.8,67.8
2017-01-03 04:15:00,68.4,68.4
2017-01-03 04:20:00,68.6,68.6
2017-01-03 04:25:00,68.7,68.7
2017-01-03 04:30:00,68.9,68.9
2017-01-03 04:35:00,69.1,69.1
2017-01-03 04:40:00,69.3,69.3
2017-01-03 04:45:00,69.0,69.0
2017-01-03 04:50:00,69.4,69.4
2017-01-03 04:55:00,70.1,70.1
2017-01-03 05:00:00,68.8,68.8
2017-01-03 05:05:00,67.8,67.8
2017-01-03 05:10:00,68.1,68.1
2017-01-03 05:15:00,68.6,68.6
2017-01-03 05:20:00,68.3,68.3
2017-01-03 05:25:00,68.1,68.1
2017-01-03 05:30:00,68.0,68.0
2017-01-03 05:35:00,67.4,67.4
2017-01-03 05:40:00,68.0,68.0
2017-01-03 05:45:00,66.4,66.4
2017-01-03 05:50:00,65.6,65.6
2017-01-03 05:55:00,67.9,67.9
2017-01-03 06:00:00,67.0,67.0
2017-01-03 06:05:00,67.2,67.2
2017-01-03 06:10:00,67.5,67.5
2017-01-03 06:15:00,66.7,66.7
2017-01-03 06:20:00,66.8,66.8
2017-01-03 06:25:00,66.2,66.2
2017-01-03 06:30:00,64.4,64.4
2017-01-03 06:35:00,65.2,65.2
2017-01-03 06:40:00,64.7,64.7
2017-01-03 06:45:00,65.5,65.5
2017-01-03 06:50:00,65.8,65.8
2017-01-03 06:55:00,64.9,64.9
2017-01-03 07:00:00,65.5,65.5
2017-01-03 07:05:00,65.8,65.8
2017-01-03 07:10:00,66.0,66.0
