survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
1,3,female,20.027114868164062,0,0,7.879199981689453,Q,Third,woman,False,E,Queenstown,yes,True
0,3,male,28.456939697265625,0,0,7.8958001136779785,S,Third,man,True,F,Southampton,no,True
0,1,male,40.0,0,0,27.720800399780273,C,First,man,True,A,Cherbourg,no,True
1,1,female,34.95660400390625,1,0,146.5207977294922,C,First,woman,False,B,Cherbourg,yes,False
1,3,female,19.33209228515625,0,0,7.75,Q,Third,woman,False,E,Queenstown,yes,True
0,2,male,66.0,0,0,10.5,S,Second,man,True,F,Southampton,no,True
0,1,male,28.0,1,0,82.1707992553711,C,First,man,True,C,Cherbourg,no,False
0,1,male,42.0,1,0,52.0,S,First,man,True,C,Southampton,no,False
1,3,male,21.377227783203125,0,0,7.2291998863220215,C,Third,man,True,E,Cherbourg,yes,True
0,3,male,21.0,0,0,8.050000190734863,S,Third,man,True,F,Southampton,no,True
0,3,female,18.0,2,0,18.0,S,Third,woman,False,F,Southampton,no,False
1,3,female,14.0,1,0,11.241700172424316,C,Third,child,False,F,Cherbourg,yes,False
0,3,female,40.0,1,0,9.475000381469727,S,Third,woman,False,G,Southampton,no,False
0,2,female,27.0,1,0,21.0,S,Second,woman,False,F,Southampton,no,False
0,3,male,30.327163696289062,0,0,7.8958001136779785,C,Third,man,True,F,Cherbourg,no,True
1,2,female,3.0,1,2,41.579200744628906,C,Second,child,False,F,Cherbourg,yes,False
1,3,female,19.0,0,0,7.879199981689453,Q,Third,woman,False,E,Queenstown,yes,True
0,3,male,28.157546997070312,0,0,8.050000190734863,S,Third,man,True,F,Southampton,no,True
0,3,male,29.435546875,1,0,15.5,Q,Third,man,True,F,Queenstown,no,False
1,3,female,19.33209228515625,0,0,7.75,Q,Third,woman,False,E,Queenstown,yes,True
0,3,male,26.125244140625,2,0,21.67919921875,C,Third,man,True,F,Cherbourg,no,False
0,3,female,18.0,1,0,17.799999237060547,S,Third,woman,False,F,Southampton,no,False
0,3,male,7.0,4,1,39.6875,S,Third,child,False,F,Southampton,no,False
0,3,male,21.0,0,0,7.800000190734863,S,Third,man,True,F,Southampton,no,True
1,1,female,49.0,1,0,76.72920227050781,C,First,woman,False,D,Cherbourg,yes,False
1,2,female,29.0,1,0,26.0,S,Second,woman,False,D,Southampton,yes,False
0,1,male,65.0,0,1,61.97919845581055,C,First,man,True,B,Cherbourg,no,False
1,1,male,42.1124267578125,0,0,35.5,S,First,man,True,C,Southampton,yes,True
1,2,female,21.0,0,0,10.5,S,Second,woman,False,E,Southampton,yes,True
0,3,male,28.5,0,0,7.2291998863220215,C,Third,man,True,F,Cherbourg,no,True
1,2,female,5.0,1,2,27.75,S,Second,child,False,F,Southampton,yes,False
0,3,male,11.0,5,2,46.900001525878906,S,Third,child,False,F,Southampton,no,False
0,3,male,22.0,0,0,7.2291998863220215,C,Third,man,True,F,Cherbourg,no,True
1,1,female,38.0,0,0,80.0,S,First,woman,False,B,Southampton,yes,True
0,1,male,45.0,1,0,83.4749984741211,S,First,man,True,C,Southampton,no,False
0,3,male,4.0,3,2,27.899999618530273,S,Third,child,False,F,Southampton,no,False
0,1,male,46.834716796875,0,0,27.720800399780273,C,First,man,True,A,Cherbourg,no,True
1,3,male,20.172821044921875,1,1,15.245800018310547,C,Third,man,True,F,Cherbourg,yes,False
1,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True
0,3,male,19.0,0,0,8.158300399780273,S,Third,man,True,F,Southampton,no,True
1,3,female,17.0,4,2,7.925000190734863,S,Third,woman,False,F,Southampton,yes,False
0,3,male,26.0,2,0,8.662500381469727,S,Third,man,True,F,Southampton,no,False
0,2,male,32.0,0,0,10.5,S,Second,man,True,F,Southampton,no,True
0,3,female,16.0,5,2,46.900001525878906,S,Third,woman,False,F,Southampton,no,False
0,2,male,21.0,0,0,73.5,S,Second,man,True,E,Southampton,no,True
0,3,male,26.0,1,0,14.45419979095459,C,Third,man,True,F,Cherbourg,no,False
1,3,male,32.0,0,0,56.49580001831055,S,Third,man,True,E,Southampton,yes,True
0,3,male,25.0,0,0,7.650000095367432,S,Third,man,True,F,Southampton,no,True
0,3,male,28.456939697265625,0,0,7.8958001136779785,S,Third,man,True,F,Southampton,no,True
0,3,male,28.157546997070312,0,0,8.050000190734863,S,Third,man,True,F,Southampton,no,True
1,2,male,0.8299999833106995,0,2,29.0,S,Second,child,False,F,Southampton,yes,False
1,3,female,30.0,0,0,12.475000381469727,S,Third,woman,False,E,Southampton,yes,True
0,3,male,22.0,0,0,9.0,S,Third,man,True,F,Southampton,no,True
1,3,male,29.0,0,0,9.5,S,Third,man,True,E,Southampton,yes,True
1,3,female,19.533828735351562,0,0,7.787499904632568,Q,Third,woman,False,E,Queenstown,yes,True
0,1,male,28.0,0,0,47.099998474121094,S,First,man,True,C,Southampton,no,True
1,2,female,17.0,0,0,10.5,S,Second,woman,False,E,Southampton,yes,True
1,3,female,33.0,3,0,15.850000381469727,S,Third,woman,False,F,Southampton,yes,False
0,3,male,16.0,1,3,34.375,S,Third,man,True,F,Southampton,no,False
0,3,male,28.157546997070312,0,0,8.050000190734863,S,Third,man,True,F,Southampton,no,True
1,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False
0,3,male,24.0,0,0,8.050000190734863,S,Third,man,True,F,Southampton,no,True
0,3,male,29.0,0,0,8.050000190734863,S,Third,man,True,F,Southampton,no,True
0,3,male,20.0,0,0,7.8541998863220215,S,Third,man,True,F,Southampton,no,True
0,1,male,46.0,1,0,61.17499923706055,S,First,man,True,E,Southampton,no,False
0,3,male,26.0,1,2,20.575000762939453,S,Third,man,True,F,Southampton,no,False
0,3,male,59.0,0,0,7.25,S,Third,man,True,F,Southampton,no,True
0,3,male,28.157546997070312,0,0,8.050000190734863,S,Third,man,True,F,Southampton,no,True
0,1,male,71.0,0,0,34.65420150756836,C,First,man,True,A,Cherbourg,no,True
1,1,male,23.0,0,1,63.358299255371094,C,First,man,True,D,Cherbourg,yes,False
1,2,female,34.0,0,1,23.0,S,Second,woman,False,D,Southampton,yes,False
0,2,male,34.0,1,0,26.0,S,Second,man,True,F,Southampton,no,False
0,3,female,28.0,0,0,7.8958001136779785,S,Third,woman,False,F,Southampton,no,True
0,3,male,28.456939697265625,0,0,7.8958001136779785,S,Third,man,True,F,Southampton,no,True
0,1,male,21.0,0,1,77.2874984741211,S,First,man,True,D,Southampton,no,False
0,3,male,33.0,0,0,8.654199600219727,S,Third,man,True,F,Southampton,no,True
0,3,male,37.0,2,0,7.925000190734863,S,Third,man,True,F,Southampton,no,False
0,3,male,28.0,0,0,7.8958001136779785,S,Third,man,True,F,Southampton,no,True
1,3,female,21.0,0,0,7.650000095367432,S,Third,woman,False,E,Southampton,yes,True
1,3,male,29.201416015625,0,0,7.775000095367432,S,Third,man,True,E,Southampton,yes,True
0,3,male,38.0,0,0,7.8958001136779785,S,Third,man,True,F,Southampton,no,True
1,3,female,35.16644287109375,1,0,24.149999618530273,Q,Third,woman,False,E,Queenstown,yes,False
0,1,male,47.0,0,0,52.0,S,First,man,True,C,Southampton,no,True
0,3,female,14.5,1,0,14.45419979095459,C,Third,child,False,F,Cherbourg,no,False
0,3,male,22.0,0,0,8.050000190734863,S,Third,man,True,F,Southampton,no,True
0,3,female,20.0,1,0,9.824999809265137,S,Third,woman,False,G,Southampton,no,False
0,3,female,17.0,0,0,14.45829963684082,C,Third,woman,False,F,Cherbourg,no,True
0,3,male,21.0,0,0,7.925000190734863,S,Third,man,True,F,Southampton,no,True
0,3,male,70.5,0,0,7.75,Q,Third,man,True,F,Queenstown,no,True
0,2,male,29.0,1,0,21.0,S,Second,man,True,F,Southampton,no,False
0,1,male,24.0,0,1,247.5207977294922,C,First,man,True,B,Cherbourg,no,False
0,3,female,2.0,4,2,31.274999618530273,S,Third,child,False,F,Southampton,no,False
0,2,male,21.0,2,0,73.5,S,Second,man,True,F,Southampton,no,False
0,3,male,28.157546997070312,0,0,8.050000190734863,S,Third,man,True,F,Southampton,no,True
0,2,male,32.5,1,0,30.07080078125,C,Second,man,True,D,Cherbourg,no,False
1,2,female,32.5,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True
0,1,male,54.0,0,1,77.2874984741211,S,First,man,True,D,Southampton,no,False
1,3,male,12.0,1,0,11.241700172424316,C,Third,child,False,F,Cherbourg,yes,False
0,3,male,39.38104248046875,0,0,7.75,Q,Third,man,True,F,Queenstown,no,True
1,3,male,24.0,0,0,7.14169979095459,S,Third,man,True,E,Southampton,yes,True
1,3,female,28.351593017578125,1,1,22.358299255371094,C,Third,woman,False,F,Cherbourg,yes,False
0,3,male,45.0,0,0,6.974999904632568,S,Third,man,True,F,Southampton,no,True
0,3,male,33.0,0,0,7.8958001136779785,C,Third,man,True,F,Cherbourg,no,True
0,3,male,20.0,0,0,7.050000190734863,S,Third,man,True,F,Southampton,no,True
0,3,female,47.0,1,0,14.5,S,Third,woman,False,G,Southampton,no,False
1,2,female,29.0,1,0,26.0,S,Second,woman,False,D,Southampton,yes,False
0,2,male,25.0,0,0,13.0,S,Second,man,True,F,Southampton,no,True
0,2,male,23.0,0,0,15.04580020904541,C,Second,man,True,F,Cherbourg,no,True
1,1,female,19.0,0,2,26.283300399780273,S,First,woman,False,D,Southampton,yes,False
0,1,male,37.0,1,0,53.099998474121094,S,First,man,True,C,Southampton,no,False
0,3,male,16.0,0,0,9.216699600219727,S,Third,man,True,F,Southampton,no,True
0,1,male,24.0,0,0,79.19999694824219,C,First,man,True,B,Cherbourg,no,True
0,3,female,29.462646484375,0,2,15.245800018310547,C,Third,woman,False,G,Cherbourg,no,False
1,3,female,22.0,0,0,7.75,S,Third,woman,False,E,Southampton,yes,True
1,3,female,24.0,1,0,15.850000381469727,S,Third,woman,False,F,Southampton,yes,False
0,3,male,19.0,0,0,6.75,Q,Third,man,True,F,Queenstown,no,True
0,2,male,18.0,0,0,11.5,S,Second,man,True,F,Southampton,no,True
0,2,male,19.0,1,1,36.75,S,Second,man,True,F,Southampton,no,False
1,3,male,27.0,0,0,7.79580020904541,S,Third,man,True,E,Southampton,yes,True
0,3,female,9.0,2,2,34.375,S,Third,child,False,F,Southampton,no,False
0,2,male,36.5,0,2,26.0,S,Second,man,True,F,Southampton,no,False
0,2,male,42.0,0,0,13.0,S,Second,man,True,F,Southampton,no,True
0,2,male,51.0,0,0,12.524999618530273,S,Second,man,True,F,Southampton,no,True
1,1,female,22.0,1,0,66.5999984741211,S,First,woman,False,C,Southampton,yes,False
0,3,male,55.5,0,0,8.050000190734863,S,Third,man,True,F,Southampton,no,True
0,3,male,40.5,0,2,14.5,S,Third,man,True,F,Southampton,no,False
0,3,male,30.165206909179688,0,0,7.3125,S,Third,man,True,F,Southampton,no,True
0,1,male,51.0,0,1,61.37919998168945,C,First,man,True,C,Cherbourg,no,False
1,3,female,16.0,0,0,7.73330020904541,Q,Third,woman,False,E,Queenstown,yes,True
0,3,male,30.0,0,0,8.050000190734863,S,Third,man,True,F,Southampton,no,True
0,3,male,27.83087158203125,0,0,8.662500381469727,S,Third,man,True,F,Southampton,no,True
0,3,male,34.84234619140625,8,2,69.55000305175781,S,Third,man,True,F,Southampton,no,False
0,3,male,44.0,0,1,16.100000381469727,S,Third,man,True,F,Southampton,no,False
1,2,female,40.0,0,0,15.75,S,Second,woman,False,E,Southampton,yes,True
0,3,male,26.0,0,0,7.775000095367432,S,Third,man,True,F,Southampton,no,True
0,3,male,17.0,0,0,8.662500381469727,S,Third,man,True,F,Southampton,no,True
0,3,male,1.0,4,1,39.6875,S,Third,child,False,F,Southampton,no,False
1,3,male,9.0,0,2,20.524999618530273,S,Third,child,False,F,Southampton,yes,False
1,1,female,38.06451416015625,0,1,55.0,S,First,woman,False,E,Southampton,yes,False
0,3,female,45.0,1,4,27.899999618530273,S,Third,woman,False,G,Southampton,no,False
0,1,male,48.20361328125,0,0,25.924999237060547,S,First,man,True,C,Southampton,no,True
0,3,male,28.0,0,0,56.49580001831055,S,Third,man,True,E,Southampton,no,True
0,1,male,61.0,0,0,33.5,S,First,man,True,B,Southampton,no,True
0,3,male,4.0,4,1,29.125,Q,Third,child,False,F,Queenstown,no,False
1,3,female,1.0,1,1,11.133299827575684,S,Third,child,False,G,Southampton,yes,False
0,3,male,21.0,0,0,7.925000190734863,S,Third,man,True,F,Southampton,no,True
0,1,male,56.0,0,0,30.69580078125,C,First,man,True,A,Cherbourg,no,True
0,3,male,18.0,1,1,7.8541998863220215,S,Third,man,True,F,Southampton,no,False
0,3,male,32.83837890625,3,1,25.466699600219727,S,Third,man,True,F,Southampton,no,False
0,1,female,50.0,0,0,28.712499618530273,C,First,woman,False,C,Cherbourg,no,True
0,2,male,30.0,0,0,13.0,S,Second,man,True,F,Southampton,no,True
0,3,male,36.0,0,0,0.0,S,Third,man,True,F,Southampton,no,True
0,3,female,33.07928466796875,8,2,69.55000305175781,S,Third,woman,False,F,Southampton,no,False
0,2,male,33.653076171875,0,0,15.050000190734863,C,Second,man,True,F,Cherbourg,no,True
0,3,male,9.0,4,2,31.387500762939453,S,Third,child,False,F,Southampton,no,False
1,2,male,1.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False
1,3,female,4.0,0,2,22.024999618530273,S,Third,child,False,G,Southampton,yes,False
0,1,male,45.161376953125,0,0,50.0,S,First,man,True,A,Southampton,no,True
1,3,female,36.11016845703125,1,0,15.5,Q,Third,woman,False,F,Queenstown,yes,False
1,1,male,45.0,0,0,26.549999237060547,S,First,man,True,E,Southampton,yes,True
0,3,male,40.0,1,1,15.5,Q,Third,man,True,F,Queenstown,no,False
0,3,male,36.0,0,0,7.8958001136779785,S,Third,man,True,F,Southampton,no,True
1,2,female,32.0,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True
0,2,male,19.0,0,0,13.0,S,Second,man,True,F,Southampton,no,True
1,3,female,19.0,1,0,7.8541998863220215,S,Third,woman,False,G,Southampton,yes,False
1,2,male,3.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False
1,1,female,44.0,0,0,27.720800399780273,C,First,woman,False,B,Cherbourg,yes,True
1,1,female,58.0,0,0,146.5207977294922,C,First,woman,False,B,Cherbourg,yes,True
0,3,male,39.38104248046875,0,0,7.75,Q,Third,man,True,F,Queenstown,no,True
0,3,male,42.0,0,1,8.404199600219727,S,Third,man,True,F,Southampton,no,False
1,3,female,19.33209228515625,0,0,7.75,Q,Third,woman,False,E,Queenstown,yes,True
0,2,female,24.0,0,0,13.0,S,Second,woman,False,F,Southampton,no,True
0,3,male,28.0,0,0,9.5,S,Third,man,True,F,Southampton,no,True
0,3,male,34.84234619140625,8,2,69.55000305175781,S,Third,man,True,F,Southampton,no,False
0,3,male,34.0,0,0,6.495800018310547,S,Third,man,True,F,Southampton,no,True
0,3,male,45.5,0,0,7.224999904632568,C,Third,man,True,F,Cherbourg,no,True
1,3,male,18.0,0,0,8.050000190734863,S,Third,man,True,E,Southampton,yes,True
0,3,female,2.0,0,1,10.462499618530273,S,Third,child,False,G,Southampton,no,False
0,3,male,32.0,1,0,15.850000381469727,S,Third,man,True,F,Southampton,no,False
1,3,male,26.0,0,0,18.787500381469727,C,Third,man,True,E,Cherbourg,yes,True
1,3,female,16.0,0,0,7.75,Q,Third,woman,False,E,Queenstown,yes,True
1,1,male,40.0,0,0,31.0,C,First,man,True,A,Cherbourg,yes,True
0,3,male,24.0,0,0,7.050000190734863,S,Third,man,True,F,Southampton,no,True
1,2,female,35.0,0,0,21.0,S,Second,woman,False,E,Southampton,yes,True
0,3,male,22.0,0,0,7.25,S,Third,man,True,F,Southampton,no,True
0,2,male,30.0,0,0,13.0,S,Second,man,True,F,Southampton,no,True
0,3,male,39.697898864746094,1,0,7.75,Q,Third,man,True,F,Queenstown,no,False
1,1,female,31.0,1,0,113.2750015258789,C,First,woman,False,D,Cherbourg,yes,False
1,3,female,27.0,0,0,7.925000190734863,S,Third,woman,False,E,Southampton,yes,True
0,2,male,42.0,1,0,27.0,S,Second,man,True,F,Southampton,no,False
1,1,female,32.0,0,0,76.29170227050781,C,First,woman,False,D,Cherbourg,yes,True
0,2,male,30.0,0,0,10.5,S,Second,man,True,F,Southampton,no,True
1,3,male,16.0,0,0,8.050000190734863,S,Third,man,True,E,Southampton,yes,True
0,2,male,27.0,0,0,13.0,S,Second,man,True,F,Southampton,no,True
0,3,male,51.0,0,0,8.050000190734863,S,Third,man,True,F,Southampton,no,True
0,3,male,28.456939697265625,0,0,7.8958001136779785,S,Third,man,True,F,Southampton,no,True
1,1,male,38.0,1,0,90.0,S,First,man,True,C,Southampton,yes,False
0,3,male,22.0,0,0,9.350000381469727,S,Third,man,True,F,Southampton,no,True
1,2,male,19.0,0,0,10.5,S,Second,man,True,F,Southampton,yes,True
0,3,male,20.5,0,0,7.25,S,Third,man,True,F,Southampton,no,True
0,2,male,18.0,0,0,13.0,S,Second,man,True,F,Southampton,no,True
0,3,female,29.781494140625,3,1,25.466699600219727,S,Third,woman,False,F,Southampton,no,False
1,1,female,35.0,1,0,83.4749984741211,S,First,woman,False,C,Southampton,yes,False
0,3,male,29.0,0,0,7.775000095367432,S,Third,man,True,F,Southampton,no,True
0,2,male,59.0,0,0,13.5,S,Second,man,True,F,Southampton,no,True
1,3,female,5.0,4,2,31.387500762939453,S,Third,child,False,F,Southampton,yes,False
0,2,male,24.0,0,0,10.5,S,Second,man,True,F,Southampton,no,True
0,3,female,26.555892944335938,0,0,7.550000190734863,S,Third,woman,False,F,Southampton,no,True
0,2,male,44.0,1,0,26.0,S,Second,man,True,F,Southampton,no,False
1,2,female,8.0,0,2,26.25,S,Second,child,False,F,Southampton,yes,False
0,2,male,19.0,0,0,10.5,S,Second,man,True,F,Southampton,no,True
0,2,male,33.0,0,0,12.274999618530273,S,Second,man,True,F,Southampton,no,True
0,3,female,29.011520385742188,1,0,14.45419979095459,C,Third,woman,False,F,Cherbourg,no,False
1,3,female,36.11016845703125,1,0,15.5,Q,Third,woman,False,F,Queenstown,yes,False
0,2,male,29.0,0,0,10.5,S,Second,man,True,F,Southampton,no,True
0,3,male,22.0,0,0,7.125,S,Third,man,True,F,Southampton,no,True
0,3,male,30.0,0,0,7.224999904632568,C,Third,man,True,F,Cherbourg,no,True
0,1,male,44.0,2,0,90.0,Q,First,man,True,C,Queenstown,no,False
0,3,female,25.0,0,0,7.775000095367432,S,Third,woman,False,F,Southampton,no,True
1,2,female,24.0,0,2,14.5,S,Second,woman,False,F,Southampton,yes,False
1,1,male,37.0,1,1,52.55419921875,S,First,man,True,D,Southampton,yes,False
0,2,male,54.0,1,0,26.0,S,Second,man,True,F,Southampton,no,False
0,3,male,30.348220825195312,0,0,7.25,S,Third,man,True,F,Southampton,no,True
0,3,female,29.0,1,1,10.462499618530273,S,Third,woman,False,G,Southampton,no,False
0,1,male,62.0,0,0,26.549999237060547,S,First,man,True,C,Southampton,no,True
0,3,male,30.0,1,0,16.100000381469727,S,Third,man,True,F,Southampton,no,False
0,3,female,41.0,0,2,20.212499618530273,S,Third,woman,False,G,Southampton,no,False
1,3,female,29.0,0,2,15.245800018310547,C,Third,woman,False,G,Cherbourg,yes,False
1,1,female,34.25213623046875,0,0,79.19999694824219,C,First,woman,False,B,Cherbourg,yes,True
1,1,female,30.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True
1,1,female,35.0,0,0,512.3292236328125,C,First,woman,False,B,Cherbourg,yes,True
1,2,female,50.0,0,1,26.0,S,Second,woman,False,D,Southampton,yes,False
0,3,male,39.38104248046875,0,0,7.75,Q,Third,man,True,F,Queenstown,no,True
1,3,male,3.0,4,2,31.387500762939453,S,Third,child,False,F,Southampton,yes,False
0,1,male,52.0,1,1,79.6500015258789,S,First,man,True,E,Southampton,no,False
0,1,male,40.0,0,0,0.0,S,First,man,True,B,Southampton,no,True
0,3,female,23.234329223632812,0,0,7.75,Q,Third,woman,False,F,Queenstown,no,True
0,2,male,36.0,0,0,10.5,S,Second,man,True,F,Southampton,no,True
0,3,male,16.0,4,1,39.6875,S,Third,man,True,F,Southampton,no,False
1,3,male,25.0,1,0,7.775000095367432,S,Third,man,True,F,Southampton,yes,False
1,1,female,58.0,0,1,153.46249389648438,S,First,woman,False,C,Southampton,yes,False
1,1,female,35.0,0,0,135.63330078125,S,First,woman,False,C,Southampton,yes,True
0,1,male,48.77374267578125,0,0,31.0,S,First,man,True,C,Southampton,no,True
1,3,male,25.0,0,0,0.0,S,Third,man,True,F,Southampton,yes,True
1,2,female,41.0,0,1,19.5,S,Second,woman,False,D,Southampton,yes,False
0,1,male,37.0,0,1,29.700000762939453,C,First,man,True,C,Cherbourg,no,False
1,3,female,19.33209228515625,0,0,7.75,Q,Third,woman,False,E,Queenstown,yes,True
1,1,female,63.0,1,0,77.95829772949219,S,First,woman,False,D,Southampton,yes,False
0,3,female,45.0,0,0,7.75,S,Third,woman,False,F,Southampton,no,True
0,2,male,50.49467468261719,0,0,0.0,S,Second,man,True,F,Southampton,no,True
0,3,male,7.0,4,1,29.125,Q,Third,child,False,F,Queenstown,no,False
1,3,female,35.0,1,1,20.25,S,Third,woman,False,F,Southampton,yes,False
0,3,male,65.0,0,0,7.75,Q,Third,man,True,F,Queenstown,no,True
0,3,male,28.0,0,0,7.8541998863220215,S,Third,man,True,F,Southampton,no,True
0,3,male,16.0,0,0,9.5,S,Third,man,True,F,Southampton,no,True
1,3,male,19.0,0,0,8.050000190734863,S,Third,man,True,E,Southampton,yes,True
0,1,male,48.212249755859375,0,0,26.0,S,First,man,True,A,Southampton,no,True
0,3,male,33.0,0,0,8.662500381469727,C,Third,man,True,F,Cherbourg,no,True
1,3,male,30.0,0,0,9.5,S,Third,man,True,E,Southampton,yes,True
0,3,male,22.0,0,0,7.8958001136779785,S,Third,man,True,F,Southampton,no,True
1,2,male,42.0,0,0,13.0,S,Second,man,True,E,Southampton,yes,True
1,3,female,22.0,0,0,7.75,Q,Third,woman,False,E,Queenstown,yes,True
1,1,female,26.0,0,0,78.8499984741211,S,First,woman,False,B,Southampton,yes,True
1,1,female,19.0,1,0,91.0792007446289,C,First,woman,False,B,Cherbourg,yes,False
0,2,male,36.0,0,0,12.875,C,Second,man,True,D,Cherbourg,no,True
0,3,female,24.0,0,0,8.850000381469727,S,Third,woman,False,F,Southampton,no,True
0,3,male,24.0,0,0,7.8958001136779785,S,Third,man,True,F,Southampton,no,True
0,1,male,46.834716796875,0,0,27.720800399780273,C,First,man,True,A,Cherbourg,no,True
0,3,male,23.5,0,0,7.2291998863220215,C,Third,man,True,F,Cherbourg,no,True
0,1,female,2.0,1,2,151.5500030517578,S,First,child,False,C,Southampton,no,False
1,1,male,42.322296142578125,0,0,30.5,S,First,man,True,C,Southampton,yes,True
1,1,female,50.0,0,1,247.5207977294922,C,First,woman,False,B,Cherbourg,yes,False
1,3,female,19.33209228515625,0,0,7.75,Q,Third,woman,False,E,Queenstown,yes,True
1,3,male,31.055084228515625,2,0,23.25,Q,Third,man,True,F,Queenstown,yes,False
0,3,male,19.0,0,0,0.0,S,Third,man,True,F,Southampton,no,True
1,2,female,36.98822021484375,0,0,12.350000381469727,Q,Second,woman,False,E,Queenstown,yes,True
0,3,male,28.157546997070312,0,0,8.050000190734863,S,Third,man,True,F,Southampton,no,True
1,1,male,0.9200000166893005,1,2,151.5500030517578,S,First,child,False,C,Southampton,yes,False
1,1,female,34.02325439453125,0,0,110.88330078125,C,First,woman,False,B,Cherbourg,yes,True
1,1,female,17.0,1,0,108.9000015258789,C,First,woman,False,C,Cherbourg,yes,False
0,2,male,30.0,1,0,24.0,C,Second,man,True,F,Cherbourg,no,False
1,1,female,30.0,0,0,56.92919921875,C,First,woman,False,E,Cherbourg,yes,True
1,1,female,24.0,0,0,83.1583023071289,C,First,woman,False,C,Cherbourg,yes,True
1,1,female,18.0,2,2,262.375,C,First,woman,False,B,Cherbourg,yes,False
0,2,female,26.0,1,1,26.0,S,Second,woman,False,F,Southampton,no,False
0,3,male,28.0,0,0,7.8958001136779785,S,Third,man,True,F,Southampton,no,True
0,2,male,43.0,1,1,26.25,S,Second,man,True,F,Southampton,no,False
1,3,female,26.0,0,0,7.8541998863220215,S,Third,woman,False,E,Southampton,yes,True
1,2,female,24.0,1,0,26.0,S,Second,woman,False,D,Southampton,yes,False
0,2,male,54.0,0,0,14.0,S,Second,man,True,F,Southampton,no,True
1,1,female,31.0,0,2,164.86669921875,S,First,woman,False,C,Southampton,yes,False
1,1,female,40.0,1,1,134.5,C,First,woman,False,E,Cherbourg,yes,False
0,3,male,22.0,0,0,7.25,S,Third,man,True,F,Southampton,no,True
0,3,male,27.0,0,0,7.8958001136779785,S,Third,man,True,F,Southampton,no,True
1,2,female,30.0,0,0,12.350000381469727,Q,Second,woman,False,E,Queenstown,yes,True
1,2,female,22.0,1,1,29.0,S,Second,woman,False,F,Southampton,yes,False
0,3,male,34.84234619140625,8,2,69.55000305175781,S,Third,man,True,F,Southampton,no,False
1,1,female,36.0,0,0,135.63330078125,C,First,woman,False,C,Cherbourg,yes,True
0,3,male,61.0,0,0,6.237500190734863,S,Third,man,True,F,Southampton,no,True
1,2,female,36.0,0,0,13.0,S,Second,woman,False,D,Southampton,yes,True
